section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3
education,TRUE,"PhD. in Computer Science",University of Buenos Aires,"Buenos Aires, AR",2013,2018,Thesis: Fully Reflective Execution Environments.,Supervisor: Diego Garbervetsky,NA
education,TRUE,"MSc. in Computer Science",University of Buenos Aires,"Buenos Aires, AR",2003,2011,Thesis: Persistency in SqueakNOS.,Supervisor: Hernán Wilkinson,NA
research_positions,TRUE,"Postdoc", Czech Techical Univesity, "Prague, CZ",2019,2019,Research Goal: Optimizing the R programming language by mixing existing as well as novel static and dynamic analysis techniques specially targeted to data science applications, Projects: Evolving Language Ecosystems (ERC): https://ele-prl-prg.github.io/ & https://bigcode-prl-prg.github.io/.,Advisor: Jan Vitek.
industry_positions,TRUE,Software Engineer,Caesar Systems,"Buenos Aires, AR",2008,2011,Team Developer of the PetroVR platform: https://www.petrovr.com/.,NA
industry_positions,FALSE,Project Leader,Livra,"Buenos Aires, AR",2007,2008,Design & implementation of the infrastructure for performing online polls: https://social.livra.com/.,NA
industry_positions,FALSE,Web Developer,Digbang,"Buenos Aires, AR",2002,2004,Web developer,PHP and ASP web projects: http://www.digbang.com/.,NA
teaching_positions,TRUE,Assistant Head,University of Buenos Aires,"Buenos Aires, AR",2014,2018,Communications Theory,NA,NA
teaching_positions,FALSE,Teaching Assistant,University of Buenos Aires,"Buenos Aires, AR",2011,2014,Communications Theory & Operating Systems,NA,NA
teaching_positions,FALSE,Teaching Assistant,University of Buenos Aires,"Buenos Aires, AR",2008,NA, Algorithms and Data Structures II,NA,NA
data_science_writings,FALSE,[Classifying physical activity from smartphone data](https://blogs.rstudio.com/tensorflow/posts/2018-07-17-activity-detection/),RStudio Tensorflow Blog,NA,NA,2018,Walk through of training a convolutional neural network to achieve state of the art recognition of activities from accelerometer data.,Contracted article.,NA
about_me_press,FALSE,[The Deeper Story in the Data](https://www.uvm.edu/uvmnews/news/deeper-story-data),University of Vermont Quarterly,N/A,2016,2016,Story on my path post graduation and the power of narrative.,NA,NA
academic_articles,TRUE,[Fully Reflective Execution Environments](https://ieeexplore.ieee.org/document/8307099),IEEE Transactions on Software Engineering (TSE),N/A,2018,2018,"Authored with Diego Garbervetsky, Stefan Marr, and Stephane Ducasse.",NA,NA
academic_articles,TRUE,[R Melts Brains](https://dl.acm.org/citation.cfm?doid=3359619.3359744),Dynamic Languages Symposium (DLS),N/A,2019,2019,"Authored with Olivier Flückiger, Jan Ječmen, Ming-Ho Yee, Jakob Hain, and Jan Vitek.",NA,NA
academic_articles,TRUE,[Self-Contained Development Environments](https://dl.acm.org/citation.cfm?doid=3276945.3276948),Dynamic Languages Symposium (DLS),N/A,2018,2018,"Authored with Olivier Flückiger, Javier Pimás, and Jan Vitek.",NA,NA
academic_articles,TRUE,[Building Efficient Highly Runtime Adaptable Virtual Machines](https://dl.acm.org/citation.cfm?doid=2989225.2989234),Dynamic Languages Symposium (DLS),N/A,2016,2016,"Authored with Diego Garbervetsky and Stefan Marr.",NA,NA
academic_articles,FALSE,[Towards Fully Reflective Environments](https://dl.acm.org/citation.cfm?id=2814241),"International Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software (Onward!)",N/A,2015,2015,"Authored with Diego Garbervetsky, Stephane Ducasse, and Stefan Marr.",NA,NA
academic_articles,FALSE,[Powerlang: a Vehicle for Lively Implementing Programming Languages](),International Workshop on Smalltalk Technologies,N/A,2019,2019,"Authored with Javier Pimás.",NA,NA
academic_articles,FALSE,[A Metaobject Protocol for Optimizing Application-Specific Run-Time Variability](https://dl.acm.org/citation.cfm?id=3098577),"Implementation, Compilation, Optimization of Object-Oriented Languages, Programs and Systems Workshop! (ICOOLPS)",N/A,2017,2017,"Authored with Diego Garbervetsky and Stefan Marr.",NA,NA
academic_articles,FALSE,[Fully-reflective VMs for ruling software adaptation](https://dl.acm.org/citation.cfm?id=3098422),"International Conference on Software Engineering Companion (ICSE-C)",N/A,2017,2017,"Authored with Diego Garbervetsky and Stefan Marr.",Presented as poster.,NA
courses,FALSE,"[PLISS](https://pliss2017.github.io/)",N/A,"Bertinoro, IT",2017,2017,Programming Language Implementation Summer School,"Organizers: Jan Vitek and Laurence Tratt",NA
courses,FALSE,"[CASS](https://cass.pleiad.cl/)",N/A,"Santiago, CL",2020,2020,Coq Andes Summer School,"Organizers: Éric Tanter, Nicolas Tabareau and Tomás Diez",NA
courses,FALSE,"Internship",INRIA,"Lille, FR",2011,2011,RMoD research group,"Lead by Stephane Ducasse",NA
